gare,agence,numTrain,Date Heure du train,typeTrain,dateHeure1erAffichageVoie,delaiAffichageVoieHorsRetard,delaiAffichageVoieRetardCompris,instantAffichageHorsRetard,instantAffichageRetardCompris,dernierRetardAffiche,nbrRetardsConfirmes,nbDevoiementsTotal,nbDevoiementsAffiches,nbDevoiementsNonAffiches
Nantes,AG Centre-Ouest,858800,05/05/2017 06:16:00,TER,05/05/2017 05:56:04,20,20,H-20.0,H-20,,0,,,
Lens,AG Manche-Nord,846403,05/05/2017 06:16:00,TER,05/05/2017 05:56:08,20,20,H-20.0,H-20,,0,,,
Lille Flandres,AG Manche-Nord,844806,05/05/2017 06:59:00,TER,05/05/2017 05:56:15,63,63,H-63.0,H-63,,0,,,
Nancy,AG Est-Européen,6820,05/05/2017 06:16:00,TGV,05/05/2017 05:57:07,19,19,H-19.0,H-19,,0,,,
Saint-Étienne Châteaucreux,AG Centre Est Rhône Alpin,886200,05/05/2017 06:26:00,TER,05/05/2017 05:57:08,29,29,H-29.0,H-29,,0,,,
Saint-Étienne Châteaucreux,AG Centre Est Rhône Alpin,886255,05/05/2017 06:29:00,TER,05/05/2017 05:59:09,30,30,H-30.0,H-30,,0,,,
Metz Ville,AG Est-Européen,23722,05/05/2017 06:18:00,TER,05/05/2017 06:00:02,18,18,H-18.0,H-18,,0,,,
Lens,AG Manche-Nord,846402,05/05/2017 06:20:00,TER,05/05/2017 06:00:11,20,20,H-20.0,H-20,,0,,,
Metz Ville,AG Est-Européen,837501,05/05/2017 06:21:00,TER,05/05/2017 06:01:15,20,20,H-20.0,H-20,,0,,,
Clermont-Ferrand,AG Centre Est Rhône Alpin,873351,05/05/2017 06:19:00,TER,05/05/2017 06:02:07,17,17,H-17.0,H-17,,0,,,
Marseille Saint-Charles,AG Méditerranée,879103,05/05/2017 06:24:00,TER,05/05/2017 06:04:16,20,20,H-20.0,H-20,,0,,,
Marseille Saint-Charles,AG Méditerranée,881412,05/05/2017 06:23:00,TER,05/05/2017 06:04:16,19,19,H-19.0,H-19,,0,,,
Montpellier Saint-Roch,AG Méditerranée,876502,05/05/2017 06:25:00,TER,05/05/2017 06:04:26,21,21,H-21.0,H-21,,0,,,
Bordeaux Saint-Jean,AG Sud-Ouest,865063,05/05/2017 06:23:00,TER,05/05/2017 06:04:29,19,19,H-19.0,H-19,,0,,,
Nice,AG Méditerranée,881304,05/05/2017 06:40:00,TER,05/05/2017 06:04:52,35,40,H-35.0,H-40,00:05:00,1,,,
Dijon,AG Centre Est Rhône Alpin,891901,05/05/2017 06:23:00,TER,05/05/2017 06:05:28,18,18,H-18.0,H-18,,0,,,
Saint-Pierre-des-Corps,AG Centre-Ouest,14038,05/05/2017 06:26:00,INTERCITES,05/05/2017 06:06:02,20,20,H-20.0,H-20,,0,,,
Lyon Part Dieu,AG Centre Est Rhône Alpin,886603,05/05/2017 06:20:00,TER,05/05/2017 06:06:02,14,14,H-14.0,H-14,,0,,,
Strasbourg,AG Est-Européen,1662716,05/05/2017 06:27:00,TER,05/05/2017 06:07:06,20,20,H-20.0,H-20,,0,,,
Paris Gare du Nord,AG Ile-de-France,847852,05/05/2017 06:17:00,TER,05/05/2017 06:07:07,10,10,H-10.0,H-10,,0,,,
Saint-Étienne Châteaucreux,AG Centre Est Rhône Alpin,886901,05/05/2017 06:37:00,TER,05/05/2017 06:07:10,30,30,H-30.0,H-30,,0,,,
Paris Gare de Lyon,AG Ile-de-France,891000,05/05/2017 06:11:00,TER,05/05/2017 06:08:15,3,3,H-3.0,H-3,,0,,,
Grenoble,AG Centre Est Rhône Alpin,17502,05/05/2017 06:27:00,TER,05/05/2017 06:09:08,18,18,H-18.0,H-18,,0,,,
Nancy,AG Est-Européen,429174,05/05/2017 07:40:00,CAR,05/05/2017 06:10:52,89,89,H-89.0,H-89,,0,,,
Lyon Perrache,AG Centre Est Rhône Alpin,887706,05/05/2017 07:35:00,TER,05/05/2017 06:10:59,84,84,H-84.0,H-84,,0,,,
Dijon,AG Centre Est Rhône Alpin,891700,05/05/2017 06:31:00,TER,05/05/2017 06:11:02,20,20,H-20.0,H-20,,0,,,
Amiens,AG Manche-Nord,848878,05/05/2017 06:31:00,TER,05/05/2017 06:11:10,20,20,H-20.0,H-20,,0,,,
Nantes,AG Centre-Ouest,8908,05/05/2017 06:24:00,TGV,05/05/2017 06:11:28,13,13,H-13.0,H-13,,0,,,
Chambéry - Challes-les-Eaux,AG Centre Est Rhône Alpin,883750,05/05/2017 06:33:00,TER,05/05/2017 06:14:05,19,19,H-19.0,H-19,,0,,,
Saint-Pierre-des-Corps,AG Centre-Ouest,860202,05/05/2017 06:34:00,TER,05/05/2017 06:14:09,20,20,H-20.0,H-20,,0,,,
Lens,AG Manche-Nord,843602,05/05/2017 06:34:00,TER,05/05/2017 06:14:10,20,20,H-20.0,H-20,,0,,,
Marseille Saint-Charles,AG Méditerranée,880115,05/05/2017 06:22:00,TER,05/05/2017 06:14:14,8,8,H-8.0,H-8,,0,,,
Strasbourg,AG Est-Européen,830103,05/05/2017 06:34:00,TER,05/05/2017 06:14:31,19,19,H-19.0,H-19,,0,,,
Nancy,AG Est-Européen,833600,05/05/2017 06:29:00,TER,05/05/2017 06:14:41,14,14,H-14.0,H-14,,0,,,
Grenoble,AG Centre Est Rhône Alpin,49680,05/05/2017 07:15:00,BUS,05/05/2017 06:15:02,60,60,H-60.0,H-60,,0,,,
Tours,AG Centre-Ouest,52800,05/05/2017 06:35:00,BUS,05/05/2017 06:15:10,20,20,H-20.0,H-20,,0,,,
Paris Gare du Nord,AG Ile-de-France,847402,05/05/2017 06:25:00,TER,05/05/2017 06:15:11,10,10,H-10.0,H-10,,0,,,
Rennes,AG Centre-Ouest,8706,05/05/2017 06:29:00,TGV,05/05/2017 06:15:44,13,13,H-13.0,H-13,,0,,,
